userId,productId,rating
A39HTATAQ9V7YF,205616461,5
A3JM6GV9MNOF9X,558925278,3
A1Z513UWSAAO0F,558925278,5
A1WMRR494NWEWV,733001998,4
A3IAAVS479H7M7,737104473,1
AKJHHD5VEH7VG,762451459,5
A1BG8QW55XHN6U,1304139212,5
A22VW0P4VZHDE3,1304139220,5
A3V3RE4132GKRO,130414089X,5
A327B0I7CYTEJC,130414643X,4
A1BG8QW55XHN6U,130414643X,5
AIFAAVTUYHEHB,130414643X,4
AVOGV98AYOFG2,1304146537,5
A22VW0P4VZHDE3,130414674X,5
AVOGV98AYOFG2,1304168522,5
A6R426V4J7AOM,1304168522,5
A22VW0P4VZHDE3,1304174778,5
AKGB62WGF35J8,1304174778,5
A22VW0P4VZHDE3,1304174867,5
A1BG8QW55XHN6U,1304174867,5
A1BG8QW55XHN6U,1304174905,5
A22VW0P4VZHDE3,1304196046,5
A22VW0P4VZHDE3,1304196062,5
A3A4C2K3TWDAO5,1304196070,1
A3FV2Q7WPZMQPV,1304196135,5
A22VW0P4VZHDE3,1304196135,5
A1RXI3A1E99112,1304351475,5
A26QL1FBQO9C0E,1304351475,5
A19KEEVZYO1KO6,1304351475,4
A1F6HRR58TQ2R0,1304351475,5
AVQP6PO1NK0IJ,1304351475,1
A32IWHU4TUEQZR,1304351475,4
ASPJCWRXUOYYY,1304351475,5
A1LAW520BT5AM0,1304351475,1
A3SWQ2QQ7JBPFA,1304351475,5
A2D7CPCZH5VFVZ,1304351475,1
A274NIJWOQWE30,1304351475,5
A2OMU0R0VM5O9I,1304351475,1
A2YFDS6DYGFLVQ,1304351475,5
AKA7T9TPISJ26,1304351475,1
AN33X95J5460X,1304351475,4
A2UEOW698J0SSR,1304351475,5
A22ZFXQE8AWPEP,1304482596,1
A6R426V4J7AOM,1304482596,5
A9ZNJ2AXPO652,1304482634,2
A169NC0ZW6XKRD,1304482685,3
AZWRTJPN7NXT,1304482685,5
A22ZFXQE8AWPEP,1304482685,1
AH344ZAN5GNOM,1304482685,5
A1YQUT1H2ENJ8U,1304482685,4
A22VW0P4VZHDE3,1304482685,5
A6R426V4J7AOM,1304488608,5
A22ZFXQE8AWPEP,1304495396,1
A6R426V4J7AOM,1304495396,5
A3C744AK5A6MMI,1304495396,5
A2H6SFTV2892Z8,1304511073,5
A225CH9TTQPC4B,1304511073,1
A2F6NPTGDMFXN9,1304511073,1
A2H6SFTV2892Z8,1304511081,5
A1DC0DSF3H3BCW,1304511081,3
A3TR91FJ4MNFY9,1304511081,5
A22ZFXQE8AWPEP,1304511111,1
A3IANSH41YHFP1,1304511111,5
A2NRG4NQMLHDJQ,1304511111,1
A6R426V4J7AOM,130451112X,5
A2H6SFTV2892Z8,1304511138,5
A22ZFXQE8AWPEP,1304511138,1
A32G79IU2NJ2HS,1304511138,1
A2H6SFTV2892Z8,1304511146,5
A3L2VTHD6W1E2Z,1304511146,2
A3L2VTHD6W1E2Z,1304511154,1
A1BG8QW55XHN6U,1304511154,5
A2H6SFTV2892Z8,1304622193,5
A22VW0P4VZHDE3,1304622193,5
A2H6SFTV2892Z8,1304622223,5
A6R426V4J7AOM,1304622428,5
A15THVWZS6GQZY,1304622428,5
A1BG8QW55XHN6U,1304622452,5
A2H6SFTV2892Z8,1304622460,5
A1VCW66KPTNUV8,1304622622,1
AO5JB67V93FBL,1304622622,5
A1GWD6BDCLGC82,1304622622,1
AJ85OD05LNNUY,1304622657,2
A1E5CS6UI1LWQF,1304622657,5
A1SWCNGOR3GMOQ,1304622657,5
A1BG8QW55XHN6U,1304622657,5
A22ZFXQE8AWPEP,1304622665,1
A22ZFXQE8AWPEP,1304624498,1
A2IOZRH02O4C9S,1304624498,1
A2H6SFTV2892Z8,1304624544,5
A1RGXKJ4RFIOCX,1304624544,1
A11OEJ4R1PDTLN,1304624544,1
A22ZFXQE8AWPEP,1304651029,1
A1BG8QW55XHN6U,1304651029,5
A1BG8QW55XHN6U,1304651088,5
A1BG8QW55XHN6U,130465110X,5
A1BG8QW55XHN6U,1304651118,5
A6R426V4J7AOM,1304651347,5
A1BG8QW55XHN6U,1304665704,5
AZ4FR14IPKML7,1304665720,5
A251DS38L87XWF,1304665720,1
A1BG8QW55XHN6U,1304665720,5
A22ZFXQE8AWPEP,130466578X,1
A1Z03R982SX8V2,1403790965,4
A1ZY0K46FYOTB6,1403790965,5
A3MAATZ091QZGE,1403790965,5
A35XCJ5P6ZKRE9,1403790965,5
A2B3YKKXVN28TW,1403790965,5
A2RDR51FRB58LD,1403790965,5
A2MSCG0YX85RL4,1403790965,5
A2P8AUMTM6O605,1403790965,5
A3SN6TKIXQI7RP,1403790965,5
A1MLJHYS35C4X6,1403790965,5
A2FTLN4PYZE7S6,1403790965,5
ATPHIBSTV1NY5,1412759676,5
A1QWS6V26JZ5OX,1412759676,5
A1VK4ALI1QOF5U,1412759676,4
A1GIXQUBPA0DPT,1412759676,5
A22L53OZ7IDQX3,1412759676,5
AAOU507M8SF9E,1412759676,5
A2DIOCFQZQFD9O,1451646526,4
A17Z7DO3IFHZOE,1457982633,5
A120LZ9VNR3YI0,1572671203,3
A39QH03VD9U048,1572671203,3
A95YCV8FK2LCM,1572671203,4
AP57TEKK91CIM,1572671203,5
A3OQ3FVYBU7SBD,1879187396,5
A2GDJP70RVLDKY,1906987238,5
A2BQ8DVGEGWAFY,1929099886,4
A2A0EW34FZH9Z7,1987958179,5
A1D6UAVLQUS41B,3222000565,5
A2VRUBSVHDDOU9,3222000565,5
A276N142RFK6EF,3222000565,5
A2HNQ3JHXDSVMW,322700075X,3
ADURH4ZDRMZV6,3227001055,4
AXVLSEEYTC4Z9,3227001055,1
AGGXC77INUISD,3227001055,5
A10REFE1TW3ZVT,3227001381,5
A3M7ROZKQW6F69,3227001381,4
A271KYL82709TY,3227001381,5
A1OON4OPP58E26,3227001381,5
A3COLQK8Y9V9A5,3227001381,5
A28H0PAQPYKN94,3227001381,5
AYI1LDJYGG0ZK,3227001381,4
A3T5EYVSBN3QQX,3227001381,2
A3E4N6O6WC8LEX,3227001381,5
A30IURTQM5NNA4,3227001381,5
A100GYE1W4OXZ8,3227001381,5
A1ZWS1H6H06Y2J,3227001381,5
A3BMQUL5QATQIW,3227001381,5
AI5JNFT6YBQQY,3227001381,5
A2H79ANDK766S1,3227001381,4
A3LO1A9N0F0TXE,3227001381,5
A2JYNUBR7H2W41,3227001381,5
A2O9UKJ2FR0GZ4,3227001381,5
A1O5Z4ZKPMHORQ,3227001381,5
A366PG2T9L9VSW,3227001381,2
A11AT6B3912DCU,3227001381,5
A2RCLQ2PS3PN8H,3227001381,5
A445U3NN5XBYK,3227001381,3
A3GAMJUEB4A4J9,3227001381,5
A7BCFTL2PU1NZ,3227001381,5
A87X19PQJFYFA,3292000971,5
A2F5SHIP4HF9,3292000971,5
A305WEYT5UZKCZ,3292000971,5
A2E8U0H25VGG3O,3423470476,1
A2S1HDSZ0OGW1M,360211600X,5
AFRE5F3MKUKME,360211600X,1
A11Q1HQ84F8POH,4057362797,1
A2CCV112TWLK7A,4057362843,5
A2099WPFJKJKZC,4057362886,4
A1T8YQ4FFMWQPC,4057362894,5
AZLE2XFH3JUNG,4057362894,5
A99JEK1Z8S1T0,4057362967,5
